prestazione,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
4.20,MANZO Matteo,1996,EM,A.P. AMATORI ATLETICA NAPOLI,3 su- 1,Foggia,2005-10-15,https://www.fidal.it/atleta/MANZO-Matteo/gKiRlZiocGU%3D,https://www.fidal.it/societa/A-P--AMATORI-ATLETICA-NAPOLI/NA064
3.20,COLOMBO Giulia,1994,EF,ATLETICA ASSAGO,26 su- 1,San Donato Milanese,2005-10-22,https://www.fidal.it/atleta/COLOMBO-Giulia/dq2Rk5ilcGc%3D,https://www.fidal.it/societa/ATLETICA-ASSAGO/MI279
3.00,GALLI Giulia,1994,EF,AS.P.E.S.,2 su- 1,Donnas,2005-05-22,https://www.fidal.it/atleta/GALLI-Giulia/dq2Rk5WkaWk%3D,https://www.fidal.it/societa/AS-P-E-S-/MI330
4.25,LAU Atoll,1990,CM,FIAMME GIALLE G. SIMONI,1 su- 1,Bisceglie,2005-10-08,https://www.fidal.it/atleta/LAU-Atoll/f6iRl5inaWM%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
4.10,LAU Atoll,1990,CM,FIAMME GIALLE G. SIMONI,1 fi- 1,Rieti,2005-05-25,https://www.fidal.it/atleta/LAU-Atoll/f6iRl5inaWM%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
4.00,LAU Atoll,1990,CM,FIAMME GIALLE G. SIMONI,1 fi- 1,Formia,2005-07-06,https://www.fidal.it/atleta/LAU-Atoll/f6iRl5inaWM%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
4.00,LAU Atoll,1990,CM,FIAMME GIALLE G. SIMONI,1 fi- 1,Roma,2005-09-17,https://www.fidal.it/atleta/LAU-Atoll/f6iRl5inaWM%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
4.00,FIORAVANTI Eugenio,1990,CM,ASA ASCOLI PICENO,2 su- 1,Bisceglie,2005-10-08,https://www.fidal.it/atleta/FIORAVANTI-Eugenio/e6iRkpuma2o%3D,https://www.fidal.it/societa/ASA-ASCOLI-PICENO/AP005
3.90,LAU Atoll,1990,CM,FIAMME GIALLE G. SIMONI,1 fi- 1,Rieti,2005-06-14,https://www.fidal.it/atleta/LAU-Atoll/f6iRl5inaWM%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
3.90,FIORAVANTI Eugenio,1990,CM,ASA ASCOLI PICENO,1 se- 1,Recanati,2005-08-12,https://www.fidal.it/atleta/FIORAVANTI-Eugenio/e6iRkpuma2o%3D,https://www.fidal.it/societa/ASA-ASCOLI-PICENO/AP005
3.90,LAU Atoll,1990,CM,FIAMME GIALLE G. SIMONI,4 se- 1,Trento,2005-08-27,https://www.fidal.it/atleta/LAU-Atoll/f6iRl5inaWM%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
3.90,FALCHETTI Marco,1990,CM,A.ATL. INTERFLUMINA,3 su- 1,Bisceglie,2005-10-08,https://www.fidal.it/atleta/FALCHETTI-Marco/dqyRlpikcWU%3D,https://www.fidal.it/societa/A-ATL--INTERFLUMINA/CR150
3.90,FIORAVANTI Eugenio,1990,CM,ASA ASCOLI PICENO,1 su- 0,Ascoli Picemo,2005-10-22,https://www.fidal.it/atleta/FIORAVANTI-Eugenio/e6iRkpuma2o%3D,https://www.fidal.it/societa/ASA-ASCOLI-PICENO/AP005
3.80,LAU Atoll,1990,CM,FIAMME GIALLE G. SIMONI,1 fi- 1,Rieti,2005-05-22,https://www.fidal.it/atleta/LAU-Atoll/f6iRl5inaWM%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
3.80,LAU Atoll,1990,CM,FIAMME GIALLE G. SIMONI,1 fi- 1,Roma,2005-06-10,https://www.fidal.it/atleta/LAU-Atoll/f6iRl5inaWM%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
3.80,LAU Atoll,1990,CM,FIAMME GIALLE G. SIMONI,3 se- 1,Orvieto,2005-06-19,https://www.fidal.it/atleta/LAU-Atoll/f6iRl5inaWM%3D,https://www.fidal.it/societa/FIAMME-GIALLE-G--SIMONI/RM057
3.80,FALCHETTI Marco,1990,CM,A.ATL. INTERFLUMINA,1 su- 1,Castelcovati,2005-09-18,https://www.fidal.it/atleta/FALCHETTI-Marco/dqyRlpikcWU%3D,https://www.fidal.it/societa/A-ATL--INTERFLUMINA/CR150
3.80,FIORAVANTI Eugenio,1990,CM,ASA ASCOLI PICENO,1 se- 1,Fermo,2005-10-02,https://www.fidal.it/atleta/FIORAVANTI-Eugenio/e6iRkpuma2o%3D,https://www.fidal.it/societa/ASA-ASCOLI-PICENO/AP005
3.80,FALCHETTI Marco,1990,CM,A.ATL. INTERFLUMINA,1 se- 1,Bassano Del Grappa,2005-10-15,https://www.fidal.it/atleta/FALCHETTI-Marco/dqyRlpikcWU%3D,https://www.fidal.it/societa/A-ATL--INTERFLUMINA/CR150
3.70,FALCHETTI Marco,1990,CM,A.ATL. INTERFLUMINA,1 se- 1,Cremona,2005-09-10,https://www.fidal.it/atleta/FALCHETTI-Marco/dqyRlpikcWU%3D,https://www.fidal.it/societa/A-ATL--INTERFLUMINA/CR150
