prestazione,vento,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
16.47,-1.6,16.47,e,RICCI Francesca,1992,CF,ATLETICA ALTO GARDA E LEDRO,5 se- 2,Bressanone,2007-05-27,https://www.fidal.it/atleta/RICCI-Francesca/d6iRkpmncGY%3D,https://www.fidal.it/societa/ATLETICA-ALTO-GARDA-E-LEDRO/TN135
21.86,-1.9,21.86,e,RINALDI Zelinda,1992,CF,A.S.D. PRO SPORT 85 VALGUARN.,5 se- 1,Catania,2007-04-28,https://www.fidal.it/atleta/RINALDI-Zelinda/h6iRlpioaWs%3D,https://www.fidal.it/societa/A-S-D--PRO-SPORT-85-VALGUARN-/EN095
14.38,+1.3,14.38,e,RIPAMONTI Francesca,1990,AF,CAMELOT,1 se- 1,Chiari,2007-06-16,https://www.fidal.it/atleta/RIPAMONTI-Francesca/dquRkpSgcGY%3D,https://www.fidal.it/societa/CAMELOT/MI221
14.47,+1.1,14.47,e,PALLARONI Elisa,1990,AF,ATL. PIACENZA,1 se- 2,Donnas,2007-07-15,https://www.fidal.it/atleta/PALLARONI-Elisa/eqiRlZalbWQ%3D,https://www.fidal.it/societa/ATL--PIACENZA/PC084
14.5,+1.3,14.50,e,FEUDATARI Alessandra,1991,AF,A.ATL. INTERFLUMINA,2 se- 1,Chiari,2007-06-16,https://www.fidal.it/atleta/FEUDATARI-Alessandra/dqyRlpioamc%3D,https://www.fidal.it/societa/A-ATL--INTERFLUMINA/CR150
14.5,+1.2,14.50,e,SPADONI Daniela,1991,AF,CUS URBINO,1 fi- 1,Cesenatico,2007-10-06,https://www.fidal.it/atleta/SPADONI-Daniela/e6iRk5SkaWM%3D,https://www.fidal.it/societa/CUS-URBINO/PU003
14.5,+1.2,14.50,e,RIPAMONTI Francesca,1990,AF,CAMELOT,2 fi- 1,Cesenatico,2007-10-06,https://www.fidal.it/atleta/RIPAMONTI-Francesca/dquRkpSgcGY%3D,https://www.fidal.it/societa/CAMELOT/MI221
14.54,-0.0,14.54,e,PALLARONI Elisa,1990,AF,ATL. PIACENZA,1 se- 7,Santa Cristina,2007-06-30,https://www.fidal.it/atleta/PALLARONI-Elisa/eqiRlZalbWQ%3D,https://www.fidal.it/societa/ATL--PIACENZA/PC084
14.56,+1.2,14.56,e,PICCARDO Manuela,1991,AF,UNIVERSALE ALBA DOCILIA,3 fi- 1,Cesenatico,2007-10-06,https://www.fidal.it/atleta/PICCARDO-Manuela/daiRk5WmamQ%3D,https://www.fidal.it/societa/UNIVERSALE-ALBA-DOCILIA/SV037
14.59,-0.7,14.59,e,GIOVANELLI Lara,1991,AF,MOLLIFICIO MODENESE CITTADELLA,1 su- 1,Scandiano,2007-09-29,https://www.fidal.it/atleta/GIOVANELLI-Lara/eqiRlZagbWg%3D,https://www.fidal.it/societa/MOLLIFICIO-MODENESE-CITTADELLA/MO054
14.6,-0.6,14.60,e,SQUASSABIA Ginevra,1990,AF,LIB. MANTOVA F.LE,1 se- 1,Lecco,2007-05-12,https://www.fidal.it/atleta/SQUASSABIA-Ginevra/dqiSl5Ska2U%3D,https://www.fidal.it/societa/LIB--MANTOVA-F-LE/MN257
14.6,+1.2,14.60,e,SQUASSABIA Ginevra,1990,AF,LIB. MANTOVA F.LE,4 fi- 1,Cesenatico,2007-10-06,https://www.fidal.it/atleta/SQUASSABIA-Ginevra/dqiSl5Ska2U%3D,https://www.fidal.it/societa/LIB--MANTOVA-F-LE/MN257
14.61,+0.0,14.61,e,PICCARDO Manuela,1991,AF,UNIVERSALE ALBA DOCILIA,1 se- 1,Aosta,2007-07-08,https://www.fidal.it/atleta/PICCARDO-Manuela/daiRk5WmamQ%3D,https://www.fidal.it/societa/UNIVERSALE-ALBA-DOCILIA/SV037
14.61,-1.7,14.61,e,NGO AG Odile,1990,AF,GRUPPO SPORTIVO VIRTUS,2 se- 1,Ostrava,2007-07-13,https://www.fidal.it/atleta/NGO-AG-Odile/g6iRkpegaGs%3D,https://www.fidal.it/societa/GRUPPO-SPORTIVO-VIRTUS/CB005
14.62,+1.2,14.62,e,STRATI Laura,1990,AF,GR.SP.DIL.SCOL MARCONI CASSOLA,5 fi- 1,Cesenatico,2007-10-06,https://www.fidal.it/atleta/STRATI-Laura/eKiRlZKnaGs%3D,https://www.fidal.it/societa/GR-SP-DIL-SCOL-MARCONI-CASSOLA/VI632
