prestazione,vento,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
18.94,+0.0,18.94,0,MINOPOLI Ernesto,1933,SM80,AMATORI MASTERS NOVARA,1 su- 1,Desenzano Del Garda,2014-05-25,https://www.fidal.it/atleta/MINOPOLI-Ernesto/dKiRk5OgbWU%3D,https://www.fidal.it/societa/AMATORI-MASTERS-NOVARA/NO002
16.72,+0.8,16.72,0,ZORZI Ingeborg,1948,SF65,SPORTCLUB MERAN ASV,1 su- 1,Izmir,2014-08-22,https://www.fidal.it/atleta/ZORZI-Ingeborg/iaiRkpijbGw%3D,https://www.fidal.it/societa/SPORTCLUB-MERAN-ASV/BZ019
17.1,+2.5,17.10,0,ZORZI Ingeborg,1948,SF65,SPORTCLUB MERAN ASV,1 su- 1,Modena,2014-07-04,https://www.fidal.it/atleta/ZORZI-Ingeborg/iaiRkpijbGw%3D,https://www.fidal.it/societa/SPORTCLUB-MERAN-ASV/BZ019
17.48,+1.7,17.48,0,ZORZI Ingeborg,1948,SF65,SPORTCLUB MERAN ASV,1 su- 1,Desenzano Del Garda,2014-05-24,https://www.fidal.it/atleta/ZORZI-Ingeborg/iaiRkpijbGw%3D,https://www.fidal.it/societa/SPORTCLUB-MERAN-ASV/BZ019
18.09,+1.7,18.09,0,GIOVANELLI Anna maria,1953,SF60,ATLETICA ALMA JUVENTUS FANO,2 su- 1,Desenzano Del Garda,2014-05-24,https://www.fidal.it/atleta/GIOVANELLI-Anna-maria/e6yRkpKhamQ%3D,https://www.fidal.it/societa/ATLETICA-ALMA-JUVENTUS-FANO/PU020
36.54,+1.7,36.54,0,CLO' Paola,1947,SF65,POL. OLIMPIA VIGNOLA,3 su- 1,Desenzano Del Garda,2014-05-24,https://www.fidal.it/atleta/CLO-Paola/eqiRk5Oobmc%3D,https://www.fidal.it/societa/POL--OLIMPIA-VIGNOLA/MO058
18.52,+1.8,18.52,0,MINOPOLI Ernesto,1933,SM80,AMATORI MASTERS NOVARA,2 su- 1,Ancona,2015-05-24,https://www.fidal.it/atleta/MINOPOLI-Ernesto/dKiRk5OgbWU%3D,https://www.fidal.it/societa/AMATORI-MASTERS-NOVARA/NO002
19.01,-0.9,19.01,0,MINOPOLI Ernesto,1933,SM80,AMATORI MASTERS NOVARA,3 se- 2,Lyon,2015-08-06,https://www.fidal.it/atleta/MINOPOLI-Ernesto/dKiRk5OgbWU%3D,https://www.fidal.it/societa/AMATORI-MASTERS-NOVARA/NO002
16.82,+0.8,16.82,0,ZORZI Ingeborg,1948,SF65,SPORTCLUB MERAN ASV,2 su- 1,Lyon,2015-08-04,https://www.fidal.it/atleta/ZORZI-Ingeborg/iaiRkpijbGw%3D,https://www.fidal.it/societa/SPORTCLUB-MERAN-ASV/BZ019
16.94,+1.3,16.94,0,ZORZI Ingeborg,1948,SF65,SPORTCLUB MERAN ASV,4 fi- 1,Lyon,2015-08-14,https://www.fidal.it/atleta/ZORZI-Ingeborg/iaiRkpijbGw%3D,https://www.fidal.it/societa/SPORTCLUB-MERAN-ASV/BZ019
