prestazione,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
49.11,49.11,e,CARABELLI Gianni,1979,SM,C.S. CARABINIERI SEZ. ATLETICA,2 se- 2,Rethymno,2007-07-18,https://www.fidal.it/atleta/CARABELLI-Gianni/dqiRkpimaWo%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
49.81,49.81,e,CARABELLI Gianni,1979,SM,C.S. CARABINIERI SEZ. ATLETICA,3 ba- 2,Osaka,2007-08-25,https://www.fidal.it/atleta/CARABELLI-Gianni/dqiRkpimaWo%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
50.13,50.13,e,OTTOZ Laurent,1970,SM35,G.A. FIAMME GIALLE,1 se- 1,Rieti,2007-05-20,https://www.fidal.it/atleta/OTTOZ-Laurent/f6iRkpKicWY%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
50.18,50.18,e,CARABELLI Gianni,1979,SM,C.S. CARABINIERI SEZ. ATLETICA,1 se- 1,Rovereto,2007-09-12,https://www.fidal.it/atleta/CARABELLI-Gianni/dqiRkpimaWo%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
50.22,50.22,e,CARABELLI Gianni,1979,SM,C.S. CARABINIERI SEZ. ATLETICA,4 su- 1,Rieti,2007-09-09,https://www.fidal.it/atleta/CARABELLI-Gianni/dqiRkpimaWo%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
50.35,50.35,e,CARABELLI Gianni,1979,SM,C.S. CARABINIERI SEZ. ATLETICA,7 sf- 3,Osaka,2007-08-26,https://www.fidal.it/atleta/CARABELLI-Gianni/dqiRkpimaWo%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
50.38,50.38,e,CARABELLI Gianni,1979,SM,C.S. CARABINIERI SEZ. ATLETICA,1 se- 2,Palermo,2007-09-30,https://www.fidal.it/atleta/CARABELLI-Gianni/dqiRkpimaWo%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
50.54,50.54,e,CARABELLI Gianni,1979,SM,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Torino,2007-06-08,https://www.fidal.it/atleta/CARABELLI-Gianni/dqiRkpimaWo%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
50.59,50.59,e,CASCELLA Nicola,1985,PM,C.S. AERONAUTICA MILITARE,2 se- 2,Palermo,2007-09-30,https://www.fidal.it/atleta/CASCELLA-Nicola/hKiSmJimcWk%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
50.73,50.73,e,CARABELLI Gianni,1979,SM,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Milano,2007-06-23,https://www.fidal.it/atleta/CARABELLI-Gianni/dqiRkpimaWo%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
50.74,50.74,e,CASCELLA Nicola,1985,PM,C.S. AERONAUTICA MILITARE,1 se- 1,Rieti,2007-06-07,https://www.fidal.it/atleta/CASCELLA-Nicola/hKiSmJimcWk%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
