prestazione,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
3.40,SETTE Marco,1990,CM,ASSINDUSTRIA SPORT PD,1 qu- 1,Modena,2005-03-06,https://www.fidal.it/atleta/SETTE-Marco/eKiRlJujaGU%3D,https://www.fidal.it/societa/ASSINDUSTRIA-SPORT-PD/PD140
3.40,SETTE Marco,1990,CM,ASSINDUSTRIA SPORT PD,1 su- 1,Modena,2005-03-06,https://www.fidal.it/atleta/SETTE-Marco/eKiRlJujaGU%3D,https://www.fidal.it/societa/ASSINDUSTRIA-SPORT-PD/PD140
3.30,PIAZZA Matteo,1990,CM,A.S.N.ATLETICA LASTRA,1 su- 1,Firenze,2005-01-16,https://www.fidal.it/atleta/PIAZZA-Matteo/faiRm5aha2Y%3D,https://www.fidal.it/societa/A-S-N-ATLETICA-LASTRA/FI011
3.20,SETTE Marco,1990,CM,ASSINDUSTRIA SPORT PD,1 su- 1,Modena,2005-02-27,https://www.fidal.it/atleta/SETTE-Marco/eKiRlJujaGU%3D,https://www.fidal.it/societa/ASSINDUSTRIA-SPORT-PD/PD140
3.00,PERNA Marco,1991,CM,HINNA ARCHEOATL. VESUVIO,1 fi- 1,Napoli,2005-01-09,https://www.fidal.it/atleta/PERNA-Marco/gKiRlJuobms%3D,https://www.fidal.it/societa/HINNA-ARCHEOATL--VESUVIO/NA063
3.00,FENUTA Davide,1991,CM,SCUOLA NAZIONALE ASTA,1 su- 1,Ancona,2005-03-13,https://www.fidal.it/atleta/FENUTA-Davide/hKiSmZifb2c%3D,https://www.fidal.it/societa/SCUOLA-NAZIONALE-ASTA/FG210
3.00,FENUTA Davide,1991,CM,SCUOLA NAZIONALE ASTA,1 su- 1,Ancona,2005-03-13,https://www.fidal.it/atleta/FENUTA-Davide/hKiSmZifb2c%3D,https://www.fidal.it/societa/SCUOLA-NAZIONALE-ASTA/FG210
2.90,FALCHETTI Marco,1990,CM,A.ATL. INTERFLUMINA,1 su- 1,San Donato Milanese,2005-01-15,https://www.fidal.it/atleta/FALCHETTI-Marco/dqyRlpikcWU%3D,https://www.fidal.it/societa/A-ATL--INTERFLUMINA/CR150
2.90,MAGI Gabriele,1990,CM,ETRUSCATLETICA,2 su- 1,Firenze,2005-01-16,https://www.fidal.it/atleta/MAGI-Gabriele/faiRm5mjbWs%3D,https://www.fidal.it/societa/ETRUSCATLETICA/AR341
2.90,PERNA Marco,1991,CM,HINNA ARCHEOATL. VESUVIO,1 fi- 1,Napoli,2005-01-22,https://www.fidal.it/atleta/PERNA-Marco/gKiRlJuobms%3D,https://www.fidal.it/societa/HINNA-ARCHEOATL--VESUVIO/NA063
2.90,INVERNIZZI Andrea,1990,CM,G.S. LIBERTAS ATL. CARAVAGGIO,1 su- 1,Caravaggio,2005-01-23,https://www.fidal.it/atleta/INVERNIZZI-Andrea/dqmRlpqmcGM%3D,https://www.fidal.it/societa/G-S--LIBERTAS-ATL--CARAVAGGIO/BG140
2.90,FALCHETTI Marco,1990,CM,A.ATL. INTERFLUMINA,2 su- 1,Modena,2005-02-27,https://www.fidal.it/atleta/FALCHETTI-Marco/dqyRlpikcWU%3D,https://www.fidal.it/societa/A-ATL--INTERFLUMINA/CR150
2.90,BORGIA Mario,1990,CM,SCUOLA NAZIONALE ASTA,2 su- 1,Ancona,2005-03-13,https://www.fidal.it/atleta/BORGIA-Mario/hKiSmZakaGU%3D,https://www.fidal.it/societa/SCUOLA-NAZIONALE-ASTA/FG210
2.90,BORGIA Mario,1990,CM,SCUOLA NAZIONALE ASTA,2 su- 1,Ancona,2005-03-13,https://www.fidal.it/atleta/BORGIA-Mario/hKiSmZakaGU%3D,https://www.fidal.it/societa/SCUOLA-NAZIONALE-ASTA/FG210
2.80,FALCHETTI Marco,1990,CM,A.ATL. INTERFLUMINA,2 su- 1,Caravaggio,2005-01-23,https://www.fidal.it/atleta/FALCHETTI-Marco/dqyRlpikcWU%3D,https://www.fidal.it/societa/A-ATL--INTERFLUMINA/CR150
2.80,PERNA Marco,1991,CM,HINNA ARCHEOATL. VESUVIO,1 fi- 1,Napoli,2005-02-05,https://www.fidal.it/atleta/PERNA-Marco/gKiRlJuobms%3D,https://www.fidal.it/societa/HINNA-ARCHEOATL--VESUVIO/NA063
2.80,AUGENTI Gianmarco,1990,CM,SCUOLA NAZIONALE ASTA,2 fi- 1,Napoli,2005-02-05,https://www.fidal.it/atleta/AUGENTI-Gianmarco/hKiSmpKjbWk%3D,https://www.fidal.it/societa/SCUOLA-NAZIONALE-ASTA/FG210
2.80,PERNA Marco,1991,CM,HINNA ARCHEOATL. VESUVIO,1 fi- 1,Napoli,2005-02-13,https://www.fidal.it/atleta/PERNA-Marco/gKiRlJuobms%3D,https://www.fidal.it/societa/HINNA-ARCHEOATL--VESUVIO/NA063
2.80,FORTUNATI Mattia,1990,CM,A.S. ATL. POMEZIA NOTA BENE,1 fi- 1,Rieti,2005-02-20,https://www.fidal.it/atleta/FORTUNATI-Mattia/f6iRl5uncWk%3D,https://www.fidal.it/societa/A-S--ATL--POMEZIA-NOTA-BENE/RS067
2.80,PIAZZA Tommaso,1990,CM,A.S.N.ATLETICA LASTRA,2 su- 1,Modena,2005-03-06,https://www.fidal.it/atleta/PIAZZA-Tommaso/faiRm5aha2c%3D,https://www.fidal.it/societa/A-S-N-ATLETICA-LASTRA/FI011
2.70,PIAZZA Tommaso,1990,CM,A.S.N.ATLETICA LASTRA,3 su- 1,Firenze,2005-01-16,https://www.fidal.it/atleta/PIAZZA-Tommaso/faiRm5aha2c%3D,https://www.fidal.it/societa/A-S-N-ATLETICA-LASTRA/FI011
2.70,BORGIA Mario,1990,CM,SCUOLA NAZIONALE ASTA,3 fi- 1,Napoli,2005-02-05,https://www.fidal.it/atleta/BORGIA-Mario/hKiSmZakaGU%3D,https://www.fidal.it/societa/SCUOLA-NAZIONALE-ASTA/FG210
2.70,PALAZZO Marcello,1991,CM,SCUOLA NAZIONALE ASTA,4 fi- 1,Napoli,2005-02-05,https://www.fidal.it/atleta/PALAZZO-Marcello/hKiSmZmoa2U%3D,https://www.fidal.it/societa/SCUOLA-NAZIONALE-ASTA/FG210
2.70,PALAZZO Marcello,1991,CM,SCUOLA NAZIONALE ASTA,3 su- 1,Ancona,2005-03-13,https://www.fidal.it/atleta/PALAZZO-Marcello/hKiSmZmoa2U%3D,https://www.fidal.it/societa/SCUOLA-NAZIONALE-ASTA/FG210
2.70,PALAZZO Marcello,1991,CM,SCUOLA NAZIONALE ASTA,3 su- 1,Ancona,2005-03-13,https://www.fidal.it/atleta/PALAZZO-Marcello/hKiSmZmoa2U%3D,https://www.fidal.it/societa/SCUOLA-NAZIONALE-ASTA/FG210
2.60,BITONNESE Giovanni,1990,CM,A. POL. ATL. TORRE DEL GRECO,2 fi- 1,Napoli,2005-02-13,https://www.fidal.it/atleta/BITONNESE-Giovanni/gKiRlJqicWQ%3D,https://www.fidal.it/societa/A--POL--ATL--TORRE-DEL-GRECO/NA087
2.60,MATIAZZI Fabio,1991,CM,ASSINDUSTRIA SPORT PD,3 su- 1,Modena,2005-02-27,https://www.fidal.it/atleta/MATIAZZI-Fabio/eKiRlZKfaWo%3D,https://www.fidal.it/societa/ASSINDUSTRIA-SPORT-PD/PD140
2.60,COSTA Simone,1991,CM,A.S. LA FRATELLANZA 1874,3 su- 1,Modena,2005-03-06,https://www.fidal.it/atleta/COSTA-Simone/eqiRlZagb2g%3D,https://www.fidal.it/societa/A-S--LA-FRATELLANZA-1874/MO052
2.50,COLOMBO Giorgio,1990,CM,O.S.A. SARONNO LIB.,1 su- 1,San Donato Milanese,2005-01-29,https://www.fidal.it/atleta/COLOMBO-Giorgio/drKRkpOoa2Q%3D,https://www.fidal.it/societa/O-S-A--SARONNO-LIB-/VA119
2.50,CIMBARO Giacomo,1990,CM,ASSINDUSTRIA SPORT PD,4 su- 1,Modena,2005-02-27,https://www.fidal.it/atleta/CIMBARO-Giacomo/eKiRlZajbWU%3D,https://www.fidal.it/societa/ASSINDUSTRIA-SPORT-PD/PD140
2.40,BITONNESE Giovanni,1990,CM,A. POL. ATL. TORRE DEL GRECO,2 fi- 1,Napoli,2005-01-09,https://www.fidal.it/atleta/BITONNESE-Giovanni/gKiRlJqicWQ%3D,https://www.fidal.it/societa/A--POL--ATL--TORRE-DEL-GRECO/NA087
2.40,STECCHI Claudio michel,1991,CM,ASSI BANCA TOSCANA FIRENZE,4 su- 1,Firenze,2005-01-16,https://www.fidal.it/atleta/STECCHI-Claudio-michel/faiRm5WoaGs%3D,https://www.fidal.it/societa/ASSI-BANCA-TOSCANA-FIRENZE/FI001
2.40,BITONNESE Giovanni,1990,CM,A. POL. ATL. TORRE DEL GRECO,2 fi- 1,Napoli,2005-01-22,https://www.fidal.it/atleta/BITONNESE-Giovanni/gKiRlJqicWQ%3D,https://www.fidal.it/societa/A--POL--ATL--TORRE-DEL-GRECO/NA087
2.40,BITONNESE Giovanni,1990,CM,A. POL. ATL. TORRE DEL GRECO,5 fi- 1,Napoli,2005-02-05,https://www.fidal.it/atleta/BITONNESE-Giovanni/gKiRlJqicWQ%3D,https://www.fidal.it/societa/A--POL--ATL--TORRE-DEL-GRECO/NA087
2.40,ALLEGRI Andrea,1991,CM,ATL. SPORTLIFE LA SPEZIA,4 su- 1,Modena,2005-03-06,https://www.fidal.it/atleta/ALLEGRI-Andrea/daiUlpKna2w%3D,https://www.fidal.it/societa/ATL--SPORTLIFE-LA-SPEZIA/SP573
2.30,MANNUCCI Elias,1991,CM,TOSCANA ATL.EMPOLI,5 su- 1,Firenze,2005-01-16,https://www.fidal.it/atleta/MANNUCCI-Elias/faiSkpWibGQ%3D,https://www.fidal.it/societa/TOSCANA-ATL-EMPOLI/FI007
2.30,PIANE Luca,1990,CM,ATL.ASICS FIRENZE MARATHON,6 su- 1,Firenze,2005-01-16,https://www.fidal.it/atleta/PIANE-Luca/faiRm5KobGk%3D,https://www.fidal.it/societa/ATL-ASICS-FIRENZE-MARATHON/FI002
2.10,FARANDA Giovanni,1990,CM,LIB. POL. AMAT. ATL. BN,3 fi- 1,Napoli,2005-01-22,https://www.fidal.it/atleta/FARANDA-Giovanni/gKiRlZihcGc%3D,https://www.fidal.it/societa/LIB--POL--AMAT--ATL--BN/BN026
1.80,MOSCONI Matteo,1991,CM,ATL. LIB. RIMINI,5 su- 1,Modena,2005-02-27,https://www.fidal.it/atleta/MOSCONI-Matteo/eqiRlZmmbGw%3D,https://www.fidal.it/societa/ATL--LIB--RIMINI/RN036
3.02,GALLI Giulia,1990,CF,POLISP.S.STEFANO BORGOMANERO,1 su- 1,San Donato Milanese,2005-01-29,https://www.fidal.it/atleta/GALLI-Giulia/dK2Rk5iicGU%3D,https://www.fidal.it/societa/POLISP-S-STEFANO-BORGOMANERO/NO007
3.00,MARTIRADONNA Arianna,1990,CF,G.S. LIBERTAS ATL. CARAVAGGIO,1 su- 1,Caravaggio,2005-01-23,https://www.fidal.it/atleta/MARTIRADONNA-Arianna/dqmRlpuhb2w%3D,https://www.fidal.it/societa/G-S--LIBERTAS-ATL--CARAVAGGIO/BG140
3.00,FOLADORI Veronica,1990,CF,U.S. QUERCIA ROVERETO,1 su- 1,Modena,2005-03-06,https://www.fidal.it/atleta/FOLADORI-Veronica/d6iRkpmgamo%3D,https://www.fidal.it/societa/U-S--QUERCIA-ROVERETO/TN109
3.00,PEDERCINI Chantal,1991,CF,ATHL. TEAM RIVA,2 su- 1,Modena,2005-03-06,https://www.fidal.it/atleta/PEDERCINI-Chantal/d6iRkpmfb2U%3D,https://www.fidal.it/societa/ATHL--TEAM-RIVA/TN108
3.00,GUIDI Sara,1990,CF,G.S. ATLETICA 75 CATTOLICA,3 su- 1,Modena,2005-03-06,https://www.fidal.it/atleta/GUIDI-Sara/eqiRlZOobmo%3D,https://www.fidal.it/societa/G-S--ATLETICA-75-CATTOLICA/RN037
2.90,GALLI Giulia,1990,CF,POLISP.S.STEFANO BORGOMANERO,1 su- 1,San Donato Milanese,2005-01-15,https://www.fidal.it/atleta/GALLI-Giulia/dK2Rk5iicGU%3D,https://www.fidal.it/societa/POLISP-S-STEFANO-BORGOMANERO/NO007
2.90,GUIDI Sara,1990,CF,G.S. ATLETICA 75 CATTOLICA,1 su- 1,Modena,2005-02-27,https://www.fidal.it/atleta/GUIDI-Sara/eqiRlZOobmo%3D,https://www.fidal.it/societa/G-S--ATLETICA-75-CATTOLICA/RN037
2.80,BOTTES Sara,1990,CF,GINN.MONZESE FORTI E LIBERI,2 su- 1,San Donato Milanese,2005-01-15,https://www.fidal.it/atleta/BOTTES-Sara/dq2Rk5OfbGg%3D,https://www.fidal.it/societa/GINN-MONZESE-FORTI-E-LIBERI/MI085
2.80,MICOZZI Giulia,1990,CF,ATL. AVIS MACERATA,1 su- 1,Ancona,2005-03-12,https://www.fidal.it/atleta/MICOZZI-Giulia/e6iRk5WlaWg%3D,https://www.fidal.it/societa/ATL--AVIS-MACERATA/MC004
2.70,SERINA Milena,1990,CF,ATL. CHIARI 1964 LIB.,2 su- 1,San Donato Milanese,2005-01-29,https://www.fidal.it/atleta/SERINA-Milena/dqqRlpmkaGo%3D,https://www.fidal.it/societa/ATL--CHIARI-1964-LIB-/BS318
2.70,GALLI Giulia,1990,CF,POLISP.S.STEFANO BORGOMANERO,1 fi- 1,Genova Palasport,2005-02-20,https://www.fidal.it/atleta/GALLI-Giulia/dK2Rk5iicGU%3D,https://www.fidal.it/societa/POLISP-S-STEFANO-BORGOMANERO/NO007
2.70,SILVAGGI Giulia,1990,CF,ASA ASCOLI PICENO,2 su- 1,Ancona,2005-03-12,https://www.fidal.it/atleta/SILVAGGI-Giulia/e6iRkpumamo%3D,https://www.fidal.it/societa/ASA-ASCOLI-PICENO/AP005
2.60,SERINA Milena,1990,CF,ATL. CHIARI 1964 LIB.,3 su- 1,San Donato Milanese,2005-01-15,https://www.fidal.it/atleta/SERINA-Milena/dqqRlpmkaGo%3D,https://www.fidal.it/societa/ATL--CHIARI-1964-LIB-/BS318
2.60,SERINA Milena,1990,CF,ATL. CHIARI 1964 LIB.,2 su- 1,Caravaggio,2005-01-23,https://www.fidal.it/atleta/SERINA-Milena/dqqRlpmkaGo%3D,https://www.fidal.it/societa/ATL--CHIARI-1964-LIB-/BS318
2.60,CARNE Tatiane,1990,CF,G.S. LIBERTAS ATL. CARAVAGGIO,3 su- 1,Caravaggio,2005-01-23,https://www.fidal.it/atleta/CARNE-Tatiane/dqmRlpujcGY%3D,https://www.fidal.it/societa/G-S--LIBERTAS-ATL--CARAVAGGIO/BG140
2.60,VITILLO Adriana,1990,CF,POL. SAN VALENTINO,1 fi- 1,Formia,2005-02-12,https://www.fidal.it/atleta/VITILLO-Adriana/f6iRl5Wib2k%3D,https://www.fidal.it/societa/POL--SAN-VALENTINO/LT263
2.60,MIRTO Anna,1990,CF,ATL. LIB. RIMINI,2 su- 1,Modena,2005-02-27,https://www.fidal.it/atleta/MIRTO-Anna/eqiRlZejbWk%3D,https://www.fidal.it/societa/ATL--LIB--RIMINI/RN036
2.50,VITILLO Adriana,1990,CF,POL. SAN VALENTINO,1 fi- 1,Rieti,2005-02-20,https://www.fidal.it/atleta/VITILLO-Adriana/f6iRl5Wib2k%3D,https://www.fidal.it/societa/POL--SAN-VALENTINO/LT263
2.50,SERINA Milena,1990,CF,ATL. CHIARI 1964 LIB.,2 fi- 1,Genova Palasport,2005-02-20,https://www.fidal.it/atleta/SERINA-Milena/dqqRlpmkaGo%3D,https://www.fidal.it/societa/ATL--CHIARI-1964-LIB-/BS318
2.40,SCAPOLA Laura,1990,CF,U.S. FOGGIA ATL. LEGGERA,1 fi- 1,Napoli,2005-02-05,https://www.fidal.it/atleta/SCAPOLA-Laura/hKiSmZakaGM%3D,https://www.fidal.it/societa/U-S--FOGGIA-ATL--LEGGERA/FG202
2.40,PIERI Elisa,1990,CF,ULIVETO UISP ATLETICA SIENA,4 su- 1,Modena,2005-03-06,https://www.fidal.it/atleta/PIERI-Elisa/faiRm5SkaWg%3D,https://www.fidal.it/societa/ULIVETO-UISP-ATLETICA-SIENA/SI043
2.40,MIRTO Anna,1990,CF,ATL. LIB. RIMINI,3 su- 1,Ancona,2005-03-12,https://www.fidal.it/atleta/MIRTO-Anna/eqiRlZejbWk%3D,https://www.fidal.it/societa/ATL--LIB--RIMINI/RN036
2.40,SCAPOLA Laura,1990,CF,U.S. FOGGIA ATL. LEGGERA,1 su- 1,Ancona,2005-03-13,https://www.fidal.it/atleta/SCAPOLA-Laura/hKiSmZakaGM%3D,https://www.fidal.it/societa/U-S--FOGGIA-ATL--LEGGERA/FG202
2.40,SCAPOLA Laura,1990,CF,U.S. FOGGIA ATL. LEGGERA,1 su- 1,Ancona,2005-03-13,https://www.fidal.it/atleta/SCAPOLA-Laura/hKiSmZakaGM%3D,https://www.fidal.it/societa/U-S--FOGGIA-ATL--LEGGERA/FG202
2.35,PIERI Elisa,1990,CF,ULIVETO UISP ATLETICA SIENA,1 su- 1,Firenze,2005-01-30,https://www.fidal.it/atleta/PIERI-Elisa/faiRm5SkaWg%3D,https://www.fidal.it/societa/ULIVETO-UISP-ATLETICA-SIENA/SI043
2.25,NAPOLETANO Raffaella,1991,CF,ATHLETIC TEAM BARLETTA,1 fi- 1,Napoli,2005-01-09,https://www.fidal.it/atleta/NAPOLETANO-Raffaella/hKiSmZeja2c%3D,https://www.fidal.it/societa/ATHLETIC-TEAM-BARLETTA/BA068
2.25,ROMANO Eleonora,1991,CF,ATL. STUDENTESCA CA.RI.RI,2 fi- 1,Rieti,2005-02-20,https://www.fidal.it/atleta/ROMANO-Eleonora/f6iRl5Sib2U%3D,https://www.fidal.it/societa/ATL--STUDENTESCA-CA-RI-RI/RI223
2.20,ROVERATO Margherita,1990,CF,ASSINDUSTRIA SPORT PD,3 su- 1,Modena,2005-02-27,https://www.fidal.it/atleta/ROVERATO-Margherita/eKiRlZShbmc%3D,https://www.fidal.it/societa/ASSINDUSTRIA-SPORT-PD/PD140
2.20,STROPPA Eleonora,1990,CF,G.S. ATLETICA 75 CATTOLICA,4 su- 1,Modena,2005-02-27,https://www.fidal.it/atleta/STROPPA-Eleonora/eqiRlZSgaGc%3D,https://www.fidal.it/societa/G-S--ATLETICA-75-CATTOLICA/RN037
2.20,ROVERATO Margherita,1990,CF,ASSINDUSTRIA SPORT PD,5 su- 1,Modena,2005-03-06,https://www.fidal.it/atleta/ROVERATO-Margherita/eKiRlZShbmc%3D,https://www.fidal.it/societa/ASSINDUSTRIA-SPORT-PD/PD140
2.20,LAZZARI Alessandra,1991,CF,A.S.ATHLON BASTIA,4 su- 1,Ancona,2005-03-12,https://www.fidal.it/atleta/LAZZARI-Alessandra/fqiRk5ahamk%3D,https://www.fidal.it/societa/A-S-ATHLON-BASTIA/PG003
2.10,DE PAOLIS Giulia,1990,CF,A.S. ATL. POMEZIA NOTA BENE,3 fi- 1,Rieti,2005-02-20,https://www.fidal.it/atleta/DE-PAOLIS-Giulia/f6iRlpumcGQ%3D,https://www.fidal.it/societa/A-S--ATL--POMEZIA-NOTA-BENE/RS067
2.10,MEI Martina,1991,CF,ATL. STUDENTESCA CA.RI.RI,4 fi- 1,Rieti,2005-02-20,https://www.fidal.it/atleta/MEI-Martina/f6iRmJOhbWs%3D,https://www.fidal.it/societa/ATL--STUDENTESCA-CA-RI-RI/RI223
2.10,SPADA Giorgia,1991,CF,ASSINDUSTRIA SPORT PD,5 su- 1,Modena,2005-02-27,https://www.fidal.it/atleta/SPADA-Giorgia/eKiRlZigbmk%3D,https://www.fidal.it/societa/ASSINDUSTRIA-SPORT-PD/PD140
2.00,TORTORICI Chiara,1991,CF,A.ATL. INTERFLUMINA,6 su- 1,Modena,2005-02-27,https://www.fidal.it/atleta/TORTORICI-Chiara/dqyRlpioamw%3D,https://www.fidal.it/societa/A-ATL--INTERFLUMINA/CR150
1.80,NENCIONI Lodovica,1991,CF,A.S.ATL.PARIGI CAMIGLIANO,2 su- 1,Firenze,2005-01-30,https://www.fidal.it/atleta/NENCIONI-Lodovica/faiSkpKhamc%3D,https://www.fidal.it/societa/A-S-ATL-PARIGI-CAMIGLIANO/LU110
5.30,PIANTELLA Giorgio,1981,SM,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Ancona,2005-02-19,https://www.fidal.it/atleta/PIANTELLA-Giorgio/eKiRk5uibmc%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
5.20,PIANTELLA Giorgio,1981,SM,C.S. CARABINIERI SEZ. ATLETICA,1 se- 1,Modena,2005-01-22,https://www.fidal.it/atleta/PIANTELLA-Giorgio/eKiRk5uibmc%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
5.20,MOTTA Alberto,1981,SM,C.S. AERONAUTICA MILITARE,1 se- 2,Firenze,2005-02-10,https://www.fidal.it/atleta/MOTTA-Alberto/faiRk5KlbmM%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
5.20,SCOTTI Ruben,1976,SM,ATL. BERGAMO 1959,1 su- 1,Genova Palasport,2005-02-12,https://www.fidal.it/atleta/SCOTTI-Ruben/dqiRkpehcWQ%3D,https://www.fidal.it/societa/ATL--BERGAMO-1959/BG003
5.20,SCOTTI Ruben,1976,SM,ATL. BERGAMO 1959,2 su- 1,Ancona,2005-02-19,https://www.fidal.it/atleta/SCOTTI-Ruben/dqiRkpehcWQ%3D,https://www.fidal.it/societa/ATL--BERGAMO-1959/BG003
5.15,SCOTTI Ruben,1976,SM,ATL. BERGAMO 1959,1 su- 1,Caravaggio,2005-01-23,https://www.fidal.it/atleta/SCOTTI-Ruben/dqiRkpehcWQ%3D,https://www.fidal.it/societa/ATL--BERGAMO-1959/BG003
5.15,PIANTELLA Giorgio,1981,SM,C.S. CARABINIERI SEZ. ATLETICA,5 su- 1,Glasgow,2005-01-29,https://www.fidal.it/atleta/PIANTELLA-Giorgio/eKiRk5uibmc%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
5.10,TRONCA Nicola,1978,SM,A.S. LA FRATELLANZA 1874,3 su- 1,Ancona,2005-02-19,https://www.fidal.it/atleta/TRONCA-Nicola/eKiRkpafbmc%3D,https://www.fidal.it/societa/A-S--LA-FRATELLANZA-1874/MO052
5.00,TRONCA Nicola,1978,SM,A.S. LA FRATELLANZA 1874,1 se- 1,Modena,2005-01-16,https://www.fidal.it/atleta/TRONCA-Nicola/eKiRkpafbmc%3D,https://www.fidal.it/societa/A-S--LA-FRATELLANZA-1874/MO052
5.00,MOTTA Alberto,1981,SM,C.S. AERONAUTICA MILITARE,1 se- 2,Firenze,2005-01-18,https://www.fidal.it/atleta/MOTTA-Alberto/faiRk5KlbmM%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
5.00,BONI Marco,1984,PM,C.S. AERONAUTICA MILITARE,1 su- 1,Genova,2005-02-05,https://www.fidal.it/atleta/BONI-Marco/eKiRlJOhaGU%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
5.00,PIANTELLA Giorgio,1981,SM,C.S. CARABINIERI SEZ. ATLETICA,1 se- 1,Modena,2005-02-13,https://www.fidal.it/atleta/PIANTELLA-Giorgio/eKiRk5uibmc%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
5.00,TRONCA Nicola,1978,SM,A.S. LA FRATELLANZA 1874,2 se- 1,Modena,2005-02-13,https://www.fidal.it/atleta/TRONCA-Nicola/eKiRkpafbmc%3D,https://www.fidal.it/societa/A-S--LA-FRATELLANZA-1874/MO052
5.00,MARIANI Maurilio mauro,1973,SM,C.S. CARABINIERI SEZ. ATLETICA,1 su- 1,Ancona,2005-02-15,https://www.fidal.it/atleta/MARIANI-Maurilio-mauro/eqiRk5WicWg%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
5.00,MARIANI Maurilio mauro,1973,SM,C.S. CARABINIERI SEZ. ATLETICA,4 su- 1,Ancona,2005-02-19,https://www.fidal.it/atleta/MARIANI-Maurilio-mauro/eqiRk5WicWg%3D,https://www.fidal.it/societa/C-S--CARABINIERI-SEZ--ATLETICA/BO011
4.90,TRONCA Nicola,1978,SM,A.S. LA FRATELLANZA 1874,1 se- 1,Modena,2005-01-09,https://www.fidal.it/atleta/TRONCA-Nicola/eKiRkpafbmc%3D,https://www.fidal.it/societa/A-S--LA-FRATELLANZA-1874/MO052
4.90,D'ORIO Sergio,1978,SM,G.A. FIAMME GIALLE,5 su- 1,Ancona,2005-02-19,https://www.fidal.it/atleta/D-ORIO-Sergio/h6iRkpWgaWY%3D,https://www.fidal.it/societa/G-A--FIAMME-GIALLE/RM056
4.90,MOTTA Alberto,1981,SM,C.S. AERONAUTICA MILITARE,6 su- 1,Ancona,2005-02-19,https://www.fidal.it/atleta/MOTTA-Alberto/faiRk5KlbmM%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
4.80,SANTINI Andrea,1977,SM,ATL. STUDENTESCA CA.RI.RI,2 se- 2,Firenze,2005-01-18,https://www.fidal.it/atleta/SANTINI-Andrea/f6iRmJagcWQ%3D,https://www.fidal.it/societa/ATL--STUDENTESCA-CA-RI-RI/RI223
4.80,MOTTA Alberto,1981,SM,C.S. AERONAUTICA MILITARE,1 su- 1,Firenze,2005-01-21,https://www.fidal.it/atleta/MOTTA-Alberto/faiRk5KlbmM%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
4.80,BONI Marco,1984,PM,C.S. AERONAUTICA MILITARE,1 se- 1,Modena,2005-01-22,https://www.fidal.it/atleta/BONI-Marco/eKiRlJOhaGU%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
4.80,MOTTA Alberto,1981,SM,C.S. AERONAUTICA MILITARE,1 se- 2,Firenze,2005-01-26,https://www.fidal.it/atleta/MOTTA-Alberto/faiRk5KlbmM%3D,https://www.fidal.it/societa/C-S--AERONAUTICA-MILITARE/RM053
4.80,FORMICHETTI Emanuele,1983,PM,C.S. ESERCITO,1 su- 1,Firenze,2005-01-28,https://www.fidal.it/atleta/FORMICHETTI-Emanuele/f6iRlZKkaWg%3D,https://www.fidal.it/societa/C-S--ESERCITO/RM052
4.80,FORMICHETTI Emanuele,1983,PM,C.S. ESERCITO,2 su- 1,Genova,2005-02-05,https://www.fidal.it/atleta/FORMICHETTI-Emanuele/f6iRlZKkaWg%3D,https://www.fidal.it/societa/C-S--ESERCITO/RM052
4.80,VILLA Francesco,1981,SM,CUS ATL. 2000 MILANO,3 su- 1,Monaco,2005-02-05,https://www.fidal.it/atleta/VILLA-Francesco/dqiRlZWhaWQ%3D,https://www.fidal.it/societa/CUS-ATL--2000-MILANO/MI259
4.80,TENTORINI Fabio,1982,SM,ATL.SANGIORGESE TECNOLIFT R.R.,3 su- 1,Ancona,2005-02-15,https://www.fidal.it/atleta/TENTORINI-Fabio/e6iRkpigbmM%3D,https://www.fidal.it/societa/ATL-SANGIORGESE-TECNOLIFT-R-R-/FM002
4.70,SANTINI Andrea,1977,SM,ATL. STUDENTESCA CA.RI.RI,2 su- 1,Firenze,2005-01-21,https://www.fidal.it/atleta/SANTINI-Andrea/f6iRmJagcWQ%3D,https://www.fidal.it/societa/ATL--STUDENTESCA-CA-RI-RI/RI223
4.70,BURZIO Jacopo,1985,PM,TOSCANA ATLETICA,3 su- 1,Firenze,2005-01-21,https://www.fidal.it/atleta/BURZIO-Jacopo/faiRlJKoa2s%3D,https://www.fidal.it/societa/TOSCANA-ATLETICA/FI018
